player,team,player_id,Total_Tiros,Partidos_Jugados,Pases_Completados,Recuperaciones,Faltas_Recibidas,Tiros_por_Partido,Pases_por_Partido,Recuperaciones_por_Partido,Faltas_por_Partido,Participacion_Total,Participacion_Por_Partido,Indice_Peligro,Indice_Defensivo
Cristian Gabriel Romero,Argentina,20572.0,0,7,330,19,3,0.0,47.14,2.71,0.43,352,50.29,1,52
Cheikhou Kouyaté,Senegal,3684.0,0,1,21,2,2,0.0,21.0,2.0,2.0,25,25.0,1,4
Chris Mepham,Wales,4767.0,0,3,143,7,1,0.0,47.67,2.33,0.33,151,50.33,0,21
Christian Mougang Bassogog,Cameroon,46903.0,0,1,5,0,1,0.0,5.0,0.0,1.0,6,6.0,0,0
Christian Nørgaard,Denmark,7097.0,0,1,14,0,0,0.0,14.0,0.0,0.0,14,14.0,0,1
Carlos Armando Gruezo Arboleda,Ecuador,12583.0,0,1,13,0,0,0.0,13.0,0.0,0.0,13,13.0,0,1
Carlos Manuel Martínez Castro,Costa Rica,132271.0,0,1,10,2,0,0.0,10.0,2.0,0.0,12,12.0,0,3
Celso Borges Mora,Costa Rica,5582.0,0,3,94,10,0,0.0,31.33,3.33,0.0,104,34.67,0,19
Chang-Hoon Kwon,South Korea,3135.0,0,1,19,3,0,0.0,19.0,3.0,0.0,22,22.0,0,4
Jamie MacLaren,Australia,9980.0,0,3,7,0,0,0.0,2.33,0.0,0.0,7,2.33,0,0
Jan Bednarek,Poland,4626.0,0,1,6,2,0,0.0,6.0,2.0,0.0,8,8.0,0,2
Jason Cummings,Australia,9430.0,0,1,4,1,0,0.0,4.0,1.0,0.0,5,5.0,0,1
Joe Rodon,Wales,11250.0,0,3,147,5,1,0.0,49.0,1.67,0.33,153,51.0,0,19
Johan Alberto Venegas Ulloa,Costa Rica,5595.0,0,1,11,2,1,0.0,11.0,2.0,1.0,14,14.0,0,3
Karol Świderski,Poland,8836.0,0,1,7,2,1,0.0,7.0,2.0,1.0,10,10.0,0,2
