player,team,player_id,Total_Tiros,Partidos_Jugados,Pases_Completados,Recuperaciones,Faltas_Recibidas,Tiros_por_Partido,Pases_por_Partido,Recuperaciones_por_Partido,Faltas_por_Partido,Participacion_Total,Participacion_Por_Partido,Indice_Peligro,Indice_Defensivo
Alexis Mac Allister,Argentina,27886.0,7,6,242,29,18,1.17,40.33,4.83,3.0,296,49.33,16,53
Kevin De Bruyne,Belgium,3089.0,7,3,100,15,2,2.33,33.33,5.0,0.67,124,41.33,8,25
Ángel Fabián Di María Hernández,Argentina,2995.0,7,5,126,11,7,1.4,25.2,2.2,1.4,151,30.2,10,23
Mitchell Thomas Duke,Australia,33492.0,7,4,36,12,3,1.75,9.0,3.0,0.75,58,14.5,8,15
Luka Modrić,Croatia,5463.0,7,7,463,39,17,1.0,66.14,5.57,2.43,526,75.14,15,85
Gonçalo Matias Ramos,Portugal,38803.0,7,4,24,4,4,1.75,6.0,1.0,1.0,39,9.75,9,6
Nikola Vlašić,Croatia,3441.0,7,6,43,9,6,1.17,7.17,1.5,1.0,65,10.83,10,13
Rodrygo Silva de Goes,Brazil,25104.0,7,5,89,10,7,1.4,17.8,2.0,1.4,113,22.6,10,18
Bukayo Saka,England,22084.0,7,4,84,9,7,1.75,21.0,2.25,1.75,107,26.75,10,17
Joshua Kimmich,Germany,5579.0,7,3,229,17,2,2.33,76.33,5.67,0.67,255,85.0,8,39
Rodrigo Javier De Paul,Argentina,7797.0,7,7,475,37,16,1.0,67.86,5.29,2.29,535,76.43,15,84
Federico Santiago Valverde Dipetta,Uruguay,6773.0,7,3,152,14,4,2.33,50.67,4.67,1.33,177,59.0,9,29
Sergino Dest,United States,21881.0,6,4,174,17,3,1.5,43.5,4.25,0.75,200,50.0,7,34
Hee-Chan Hwang,South Korea,5620.0,6,2,46,10,3,3.0,23.0,5.0,1.5,65,32.5,7,14
Abdelkarim Hassan Al Haj Fadlalla,Qatar,124494.0,6,3,125,12,4,2.0,41.67,4.0,1.33,147,49.0,8,24
İlkay Gündoğan,Germany,10287.0,6,3,148,18,2,2.0,49.33,6.0,0.67,174,58.0,7,32
Wataru Endo,Japan,23721.0,6,4,153,25,9,1.5,38.25,6.25,2.25,193,48.25,10,40
Vincent Paté Aboubakar,Cameroon,11174.0,6,3,20,8,2,2.0,6.67,2.67,0.67,36,12.0,7,10
Mohammed Kanoo,Saudi Arabia,5713.0,6,3,118,18,3,2.0,39.33,6.0,1.0,145,48.33,7,29
Granit Xhaka,Switzerland,3500.0,6,4,211,9,4,1.5,52.75,2.25,1.0,230,57.5,8,30
Michy Batshuayi Tunga,Belgium,3457.0,6,2,15,4,2,3.0,7.5,2.0,1.0,27,13.5,7,5
Daichi Kamada,Japan,9411.0,6,4,83,7,1,1.5,20.75,1.75,0.25,97,24.25,6,15
Harry Maguire,England,3336.0,6,5,354,15,2,1.2,70.8,3.0,0.4,377,75.4,7,50
Breel-Donald Embolo,Switzerland,5545.0,6,4,50,6,14,1.5,12.5,1.5,3.5,76,19.0,13,11
Kieffer Roberto Francisco Moore,Wales,3853.0,6,3,41,4,4,2.0,13.67,1.33,1.33,55,18.33,8,8
Hirving Rodrigo Lozano Bahena,Mexico,5571.0,6,3,41,17,11,2.0,13.67,5.67,3.67,75,25.0,11,21
Azzedine Ounahi,Morocco,46258.0,6,7,221,34,14,0.86,31.57,4.86,2.0,275,39.29,13,56
Mehdi Taremi,Iran,5226.0,6,3,60,14,4,2.0,20.0,4.67,1.33,84,28.0,8,20
Philip Foden,England,4354.0,6,4,93,8,4,1.5,23.25,2.0,1.0,111,27.75,8,17
In-Beom Hwang,South Korea,23763.0,6,4,199,27,3,1.5,49.75,6.75,0.75,235,58.75,7,46
Antonio Rüdiger,Germany,3167.0,6,3,227,16,3,2.0,75.67,5.33,1.0,252,84.0,7,38
Steven Berghuis,Netherlands,7745.0,6,4,98,9,1,1.5,24.5,2.25,0.25,114,28.5,6,18
Antoine Griezmann,France,5487.0,6,7,255,25,11,0.86,36.43,3.57,1.57,297,42.43,11,50
Antony Matheus dos Santos,Brazil,25363.0,6,4,91,12,5,1.5,22.75,3.0,1.25,114,28.5,8,21
Éder Gabriel Militão,Brazil,13620.0,5,4,251,21,3,1.25,62.75,5.25,0.75,280,70.0,6,46
Andreas Evald Cornelius,Denmark,5732.0,5,3,21,3,2,1.67,7.0,1.0,0.67,31,10.33,6,5
Timothy Weah,United States,3377.0,5,4,91,13,2,1.25,22.75,3.25,0.5,111,27.75,6,22
Ahmad Nourollahi,Iran,124167.0,5,3,39,16,1,1.67,13.0,5.33,0.33,61,20.33,5,19
Pierre Kunde Malong,Cameroon,12623.0,5,2,39,8,1,2.5,19.5,4.0,0.5,53,26.5,5,11
Cody Mathès Gakpo,Netherlands,20750.0,5,5,98,23,5,1.0,19.6,4.6,1.0,131,26.2,7,32
Pedro Guilherme Abreu dos Santos,Brazil,25305.0,5,2,12,1,1,2.5,6.0,0.5,0.5,19,9.5,5,2
Tajon Buchanan,Canada,24024.0,5,3,61,15,6,1.67,20.33,5.0,2.0,87,29.0,8,21
Theo Bernard François Hernández,France,6704.0,5,6,290,24,14,0.83,48.33,4.0,2.33,333,55.5,12,53
Rafael Alexandre Conceição Leão,Portugal,18360.0,5,5,32,4,2,1.0,6.4,0.8,0.4,43,8.6,6,7
Romelu Lukaku Menama,Belgium,3289.0,5,2,7,2,1,2.5,3.5,1.0,0.5,15,7.5,5,2
Achraf Hakimi Mouh,Morocco,5245.0,5,7,314,43,13,0.71,44.86,6.14,1.86,375,53.57,11,74
Bruno Guimarães Rodriguez Moura,Brazil,25142.0,5,2,46,9,2,2.5,23.0,4.5,1.0,62,31.0,6,13
Randal Kolo Muani,France,22097.0,5,3,25,6,5,1.67,8.33,2.0,1.67,41,13.67,7,8
Sardar Azmoun,Iran,5224.0,5,3,18,2,1,1.67,6.0,0.67,0.33,26,8.67,5,3
Lovro Majer,Croatia,28914.0,5,7,80,13,5,0.71,11.43,1.86,0.71,103,14.71,7,21
Kang-In Lee,South Korea,22740.0,5,4,61,9,4,1.25,15.25,2.25,1.0,79,19.75,7,15
Kai Havertz,Germany,8966.0,5,2,26,4,1,2.5,13.0,2.0,0.5,36,18.0,5,6
Jude Bellingham,England,30714.0,5,5,242,33,8,1.0,48.4,6.6,1.6,288,57.6,9,57
Daley Blind,Netherlands,3311.0,5,5,260,13,1,1.0,52.0,2.6,0.2,279,55.8,5,39
Weston McKennie,United States,8526.0,5,4,117,16,2,1.25,29.25,4.0,0.5,140,35.0,6,27
Wahbi Khazri,Tunisia,3196.0,5,2,12,8,2,2.5,6.0,4.0,1.0,27,13.5,6,9
Carlos Soler Barragán,Spain,6583.0,5,2,78,5,2,2.5,39.0,2.5,1.0,90,45.0,6,12
Marcelo Brozović,Croatia,5469.0,5,6,472,34,10,0.83,78.67,5.67,1.67,521,86.83,10,81
Dejan Lovren,Croatia,3471.0,4,6,407,11,5,0.67,67.83,1.83,0.83,427,71.17,6,51
Ferrán Torres García,Spain,6748.0,4,4,62,8,5,1.0,15.5,2.0,1.25,79,19.75,6,14
Alphonso Davies,Canada,12365.0,4,3,82,21,4,1.33,27.33,7.0,1.33,111,37.0,6,29
Orbelín Pineda Alvarado,Mexico,26280.0,4,1,20,8,4,4.0,20.0,8.0,4.0,36,36.0,6,10
Christian Dannemann Eriksen,Denmark,3043.0,4,3,193,16,1,1.33,64.33,5.33,0.33,214,71.33,4,35
Cheikh Ahmadou Bamba Mbacke Dieng,Senegal,88123.0,4,4,11,7,4,1.0,2.75,1.75,1.0,26,6.5,6,8
David Junior Hoilett,Canada,9922.0,4,3,40,12,5,1.33,13.33,4.0,1.67,61,20.33,6,16
Pape Gueye,Senegal,21026.0,4,3,46,11,3,1.33,15.33,3.67,1.0,64,21.33,5,15
Joachim Andersen,Denmark,8247.0,4,3,199,13,4,1.33,66.33,4.33,1.33,220,73.33,6,32
Andreas Skov Olsen,Denmark,17042.0,4,2,44,2,1,2.0,22.0,1.0,0.5,51,25.5,4,6
Kasper Dolberg,Denmark,6302.0,4,3,17,4,2,1.33,5.67,1.33,0.67,27,9.0,5,5
Joshua Sargent,United States,22168.0,4,3,30,3,2,1.33,10.0,1.0,0.67,39,13.0,5,6
John Stones,England,3244.0,4,5,430,10,3,0.8,86.0,2.0,0.6,447,89.4,5,53
Jakub Kamiński,Poland,31955.0,4,4,35,16,3,1.0,8.75,4.0,0.75,58,14.5,5,19
Idrissa Gana Gueye,Senegal,3436.0,4,3,106,18,1,1.33,35.33,6.0,0.33,129,43.0,4,28
Lucas Tolentino Coelho de Lima,Brazil,22600.0,4,4,172,10,2,1.0,43.0,2.5,0.5,188,47.0,5,27
Henry Josué Martín Mex,Mexico,26400.0,4,2,15,1,4,2.0,7.5,0.5,2.0,24,12.0,6,2
Youssouf Fofana,France,11990.0,4,6,95,13,2,0.67,15.83,2.17,0.33,114,19.0,5,22
Yannick Ferreira Carrasco,Belgium,5633.0,4,2,39,5,2,2.0,19.5,2.5,1.0,50,25.0,5,8
Jules Koundé,France,4445.0,4,6,258,15,3,0.67,43.0,2.5,0.5,280,46.67,5,40
Xherdan Shaqiri,Switzerland,3533.0,4,3,68,8,6,1.33,22.67,2.67,2.0,86,28.67,7,14
Leon Goretzka,Germany,6324.0,4,3,46,6,4,1.33,15.33,2.0,1.33,60,20.0,6,10
Mason Mount,England,7843.0,4,4,62,7,10,1.0,15.5,1.75,2.5,83,20.75,9,13
Gabriel Teodoro Martinelli Silva,Brazil,29976.0,4,3,34,6,3,1.33,11.33,2.0,1.0,47,15.67,5,9
Mario Pašalić,Croatia,11603.0,4,7,77,12,1,0.57,11.0,1.71,0.14,94,13.43,4,19
Mohamed Dräger,Tunisia,9236.0,4,2,35,4,2,2.0,17.5,2.0,1.0,45,22.5,5,7
Pape Matar Sarr,Senegal,50498.0,4,2,40,2,1,2.0,20.0,1.0,0.5,47,23.5,4,6
Ritsu Doan,Japan,8361.0,4,4,37,13,4,1.0,9.25,3.25,1.0,58,14.5,6,16
Noussair Mazraoui,Morocco,15890.0,4,5,103,14,1,0.8,20.6,2.8,0.2,122,24.4,4,24
Manuel Obafemi Akanji,Switzerland,5549.0,4,4,229,10,1,1.0,57.25,2.5,0.25,244,61.0,4,32
Yunus Dimoara Musah,United States,38792.0,4,4,154,18,4,1.0,38.5,4.5,1.0,180,45.0,6,33
Virgil van Dijk,Netherlands,3669.0,4,5,305,9,2,0.8,61.0,1.8,0.4,320,64.0,5,39
Abdelhamid Sabiri,Morocco,3634.0,4,5,46,3,3,0.8,9.2,0.6,0.6,56,11.2,5,7
Angelo Smit Preciado Quiñónez,Ecuador,37737.0,4,3,97,18,2,1.33,32.33,6.0,0.67,121,40.33,5,27
Piotr Zieliński,Poland,5660.0,3,4,124,15,2,0.75,31.0,3.75,0.5,144,36.0,4,27
Daniel Alves da Silva,Brazil,4324.0,3,2,88,7,2,1.5,44.0,3.5,1.0,100,50.0,4,15
Issam Jebali,Tunisia,16352.0,3,3,29,8,2,1.0,9.67,2.67,0.67,42,14.0,4,10
Jackson Irvine,Australia,5490.0,3,4,107,11,2,0.75,26.75,2.75,0.5,123,30.75,4,21
Jin-Su Kim,South Korea,40538.0,3,4,102,12,6,0.75,25.5,3.0,1.5,123,30.75,6,22
Neco Williams,Wales,34794.0,3,3,71,19,5,1.0,23.67,6.33,1.67,98,32.67,5,26
Nicolás Alejandro Tagliafico,Argentina,5507.0,3,6,153,13,6,0.5,25.5,2.17,1.0,175,29.17,6,28
Nicolas Alexis Julio N'Koulou Ndoubena,Cameroon,7472.0,3,2,79,12,2,1.5,39.5,6.0,1.0,96,48.0,4,19
Cyle Larin,Canada,16459.0,3,3,21,4,0,1.0,7.0,1.33,0.0,28,9.33,3,6
José María Giménez de Vargas,Uruguay,5259.0,3,3,140,6,3,1.0,46.67,2.0,1.0,152,50.67,4,20
Jesper Lindstrøm,Denmark,27569.0,3,3,38,6,2,1.0,12.67,2.0,0.67,49,16.33,4,9
Takumi Minamino,Japan,8776.0,3,3,14,2,0,1.0,4.67,0.67,0.0,19,6.33,3,3
Stephen Antunes Eustáquio,Canada,11187.0,3,2,85,5,1,1.5,42.5,2.5,0.5,94,47.0,3,13
Alireza Jahanbakhsh,Iran,5239.0,3,2,9,4,0,1.5,4.5,2.0,0.0,16,8.0,3,4
Zakaria Aboukhlal,Morocco,21736.0,3,4,8,5,0,0.75,2.0,1.25,0.0,16,4.0,3,5
Darwin Gabriel Núñez Ribeiro,Uruguay,32478.0,3,3,36,8,3,1.0,12.0,2.67,1.0,50,16.67,4,11
Moisés Isaac Caicedo Corozo,Ecuador,37726.0,3,3,128,16,5,1.0,42.67,5.33,1.67,152,50.67,5,28
Thomas Meunier,Belgium,3176.0,3,3,109,8,1,1.0,36.33,2.67,0.33,121,40.33,3,18
Raphaël Adelino José Guerreiro,Portugal,5209.0,3,4,163,9,2,0.75,40.75,2.25,0.5,177,44.25,4,25
Sergej Milinković-Savić,Serbia,5589.0,3,3,90,19,4,1.0,30.0,6.33,1.33,116,38.67,5,28
Saleh Khalid Al Shehri,Saudi Arabia,51469.0,3,3,32,8,5,1.0,10.67,2.67,1.67,48,16.0,5,11
Wout Weghorst,Netherlands,7829.0,3,4,9,1,1,0.75,2.25,0.25,0.25,14,3.5,3,1
Thomas Müller,Germany,5562.0,3,3,54,4,2,1.0,18.0,1.33,0.67,63,21.0,4,9
Kamil Glik,Poland,3034.0,3,4,122,7,1,0.75,30.5,1.75,0.25,133,33.25,3,19
Yuki Soma,Japan,37122.0,3,1,13,3,3,3.0,13.0,3.0,3.0,22,22.0,4,4
Ruben Vargas,Switzerland,30401.0,3,4,81,9,3,0.75,20.25,2.25,0.75,96,24.0,4,17
Sergio Busquets i Burgos,Spain,5203.0,3,4,265,12,3,0.75,66.25,3.0,0.75,283,70.75,4,38
Almoez Ali Zainalabiddin Abdulla,Qatar,124495.0,3,3,36,6,2,1.0,12.0,2.0,0.67,47,15.67,4,9
Raphaël Varane,France,5485.0,3,6,251,10,1,0.5,41.83,1.67,0.17,265,44.17,3,35
Brennan Johnson,Wales,29377.0,3,3,12,8,1,1.0,4.0,2.67,0.33,24,8.0,3,9
Osman Bukari,Ghana,44225.0,3,2,17,7,1,1.5,8.5,3.5,0.5,28,14.0,3,8
Nikola Milenković,Serbia,5603.0,3,3,136,6,2,1.0,45.33,2.0,0.67,147,49.0,4,19
Otávio Edmilson da Silva Monteiro,Portugal,11184.0,3,3,101,9,13,1.0,33.67,3.0,4.33,126,42.0,9,19
Mohammed Muntari,Qatar,124901.0,3,3,17,3,2,1.0,5.67,1.0,0.67,25,8.33,4,4
Luke Shaw,England,3382.0,3,5,340,16,5,0.6,68.0,3.2,1.0,364,72.8,5,50
Famara Diedhiou,Senegal,13314.0,3,2,10,3,2,1.5,5.0,1.5,1.0,18,9.0,4,4
Edinson Roberto Cavani Gómez,Uruguay,4319.0,3,3,29,4,1,1.0,9.67,1.33,0.33,37,12.33,3,6
Riley McGree,Australia,33477.0,3,4,57,10,2,0.75,14.25,2.5,0.5,72,18.0,4,15
Michael Steveen Estrada Martínez,Ecuador,34396.0,3,3,30,4,8,1.0,10.0,1.33,2.67,45,15.0,7,7
Hidemasa Morita,Japan,37221.0,3,3,128,20,1,1.0,42.67,6.67,0.33,152,50.67,3,32
Kléper Laveran Lima Ferreira,Portugal,20016.0,3,4,252,18,6,0.75,63.0,4.5,1.5,279,69.75,6,43
Frederico Rodrigues Santos,Brazil,9904.0,3,4,68,8,0,0.75,17.0,2.0,0.0,79,19.75,3,14
Dušan Vlahović,Serbia,18015.0,3,2,7,5,2,1.5,3.5,2.5,1.0,17,8.5,4,5
Giorgian Daniel De Arrascaeta Benedetti,Uruguay,5258.0,3,2,34,5,0,1.5,17.0,2.5,0.0,42,21.0,3,8
Dries Mertens,Belgium,5630.0,3,2,24,0,2,1.5,12.0,0.0,1.0,29,14.5,4,2
Fran Karačić,Australia,28370.0,3,2,35,10,1,1.5,17.5,5.0,0.5,49,24.5,3,13
