ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,rival,resultado,fecha,50_50,bad_behaviour_card,ball_recovery_offensive,block_offensive,foul_committed_penalty,foul_won_penalty,goalkeeper_punched_out,pass_cut_back,pass_inswinging,shot_follows_dribble,shot_one_on_one,clearance_other,block_save_block,dribble_no_touch,pass_miscommunication
,,,,,,,,,,,,,,,1.498236,,,,,,,,,,,,,9cd188ea-5ade-42e7-a3d1-777e5eb0b9f2,757,,,"[74.4, 45.1]",3869151,15,,,,,1.1699077,,Left Foot,,,"[87.2, 75.3]",,Ground Pass,32.80061,,,,Rodrigo Javier De Paul,7797.0,,,,,,1,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,25,Argentina,779,"['a6aa32f4-e7d3-43cc-98f5-36b1850b18c2', 'c4669814-fa0c-4be9-9dad-6accb300bb01']",8,,,,,,,,,,,,,,,,,Argentina,779,00:15:08.991,Pass,True,Australia,2-1,2022-12-03,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1.149916,,,,,,,,,,,,,5b3530b7-e1e7-4273-a651-35fbb1090387,828,,,"[69.4, 51.9]",3869151,16,,,,,1.3854483,,Left Foot,,,"[70.6, 58.3]",,Ground Pass,6.511528,,,,Rodrigo Javier De Paul,7797.0,,,,,,1,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,25,Argentina,779,['7efebe50-eb64-4080-9a0b-246be51c77e2'],18,,,,,,,,,,,,,,,,,Argentina,779,00:16:18.870,Pass,,Australia,2-1,2022-12-03,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2.092083,,,,,,,,,,,,,737eb3e8-23bf-4308-bc56-e9f9af6acd45,836,,,"[73.1, 34.9]",3869151,16,,,,,-1.0372987,9fd07a9a-2de2-4ba5-b400-6a2264835ba2,Left Foot,,,"[92.0, 2.9]",,Low Pass,37.164635,,,,Alejandro Darío Gómez,7006.0,True,,,,,1,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,25,Argentina,779,['f3405ceb-92ac-4f68-b9e9-34f87ba2c74e'],23,,,,,,,,,,,,,,,,,Argentina,779,00:16:23.887,Pass,,Australia,2-1,2022-12-03,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2.349412,,,,,,,,,,,,,bd702569-1cb2-4ad1-b508-c38b96b7b11b,855,,,"[106.0, 25.3]",3869151,17,,,,,-1.5569084,,Head,,,"[106.3, 3.7]",,Low Pass,21.602083,,,,Alejandro Darío Gómez,7006.0,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,27,Argentina,779,['56b26c60-1b27-485c-ab1b-fdd2cf8789d5'],5,,,,,,,,,,,,,,,,,Argentina,779,00:17:05.589,Pass,,Australia,2-1,2022-12-03,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1.866778,,,,,,,,,,,,,f596592c-8629-4394-af97-35ac6905f965,861,,,"[96.9, 15.7]",3869151,17,,,,,2.3439999,,Left Foot,,,"[80.7, 32.3]",,Low Pass,23.194826,,,,Enzo Fernandez,38718.0,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,27,Argentina,779,['9b106641-9869-4a14-80f9-d656bb48a66a'],12,,,,,,,,,,,,,,,,,Argentina,779,00:17:12.478,Pass,,Australia,2-1,2022-12-03,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1.600399,,,,,,,,,,,,,f6e18115-e3c5-42a0-a504-c5a8a9b914d2,977,,,"[62.6, 56.1]",3869151,19,,,,,-2.0292356,,Left Foot,,,"[55.0, 40.7]",,Ground Pass,17.173235,,,,Enzo Fernandez,38718.0,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,31,Argentina,779,['869e66f9-3db5-4c0a-805e-afba6eb60d55'],7,,,,,,,,,,,,,,,,,Argentina,779,00:19:07.270,Pass,,Australia,2-1,2022-12-03,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1.21471,,,,,,,,,,,,,665ad2a2-1d58-41e3-82ce-8f0ba58dfffa,989,,,"[63.7, 27.0]",3869151,19,,,,,-0.20176235,,Left Foot,,,"[76.9, 24.3]",,Ground Pass,13.473307,,,,Alejandro Darío Gómez,7006.0,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,31,Argentina,779,['49916543-325b-48e6-af55-dd995b3ae5f2'],15,,,,,,,,,,,,,,,,,Argentina,779,00:19:15.947,Pass,,Australia,2-1,2022-12-03,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.712163,,,,,,,,,,,,,fb9bc49d-0b97-4b8e-90f4-090a8b67ceac,995,,,"[84.2, 10.0]",3869151,19,,,,,-0.6556956,,Left Foot,,,"[93.3, 3.0]",,Ground Pass,11.480854,,,,Marcos Javier Acuña,19597.0,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,31,Argentina,779,['23408dfd-8c52-488e-bbcd-67a835c01a40'],21,,,,,,,,,,,,,,,,,Argentina,779,00:19:21.053,Pass,,Australia,2-1,2022-12-03,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.823784,,,,,,,,,,,,,8f38fa88-95a7-4c56-878b-1e7ec9936019,1428,,,"[49.8, 53.0]",3869151,28,,,,,2.9016266,,Left Foot,,,"[40.4, 55.3]",,Ground Pass,9.677293,,,,Enzo Fernandez,38718.0,,,,,,1,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Center Forward,44,Argentina,779,['2a6d6580-acd6-4ca2-91b1-3976df8046bc'],52,,,,,,,,,,,,,,,,,Argentina,779,00:28:52.039,Pass,,Australia,2-1,2022-12-03,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.126302,,,,,,,,,,,,,cd5e00df-6a2f-4557-b10a-10bf2803aba5,1469,,,"[85.3, 39.4]",3869151,29,,,,,-1.3864719,,Left Foot,,,"[86.4, 33.5]",,Ground Pass,6.0016665,,Incomplete,,Alexis Mac Allister,27886.0,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Center Forward,46,Argentina,779,"['50cab637-dadc-4d79-b560-b2cd577983d4', 'b8ae2448-f08f-4cf8-aedb-91ccd0a7b220']",31,,,,,,,,,,,,,,,,,Argentina,779,00:29:31.986,Pass,,Australia,2-1,2022-12-03,,,,,,,,,,,,,,,
